 , , , , , , , ,ACTURAL, , , , , , , , , , , , , , , , , ,COMMAND, , , , , , , , , 
acs1,acs2,acs3,acs4,acs5,acs6,pcs1,pcs2,pcs3,pcs4,pcs5,pcs6,current1,current2,current3,current4,current5,current6,acs1,acs2,acs3,acs4,acs5,acs6,pcs1,pcs2,pcs3,pcs4,pcs5,pcs6,current1,current2,current3,current4,current5,current6
7.16213,0.549915,92.1809,-2.35213,86.4597,14.539,420,45.1387,403.287,-178.201,2.4358,172.767,1.06933,1.63702,-0.964712,-0.501357,-0.114495,0.38427,8.18879,0.528371,92.398,-2.73052,86.0293,16.5956,420,51.0213,401.754,-178,2.7596,171.864,0.125003,0.00959782,1.60886,-0.0410525,1.50901,0.253754
7.57195,0.547766,92.2725,-2.50265,86.2841,15.3623,419.987,47.6969,402.629,-178.113,2.57958,172.371,1.04521,1.49207,-0.967852,-0.494407,-0.110547,0.394158,8.61754,0.511639,92.4809,-2.89242,85.8566,17.4551,420,53.698,401.059,-177.909,2.90698,171.453,0.132155,0.00956033,1.61046,-0.0436795,1.50594,0.268122
8.03609,0.53765,92.367,-2.67495,86.0947,16.2878,419.979,50.5947,401.898,-178.013,2.73873,171.93,0.991655,1.14631,-1.08604,-0.495495,-0.11217,0.400631,9.04635,0.490548,92.5598,-3.056,85.6872,18.3145,420,56.3755,400.364,-177.819,3.05469,171.043,0.140256,0.00938377,1.61211,-0.0466867,1.50264,0.284276
8.38871,0.525413,92.4333,-2.80752,85.9467,17.0032,420.006,52.8,401.352,-177.941,2.86793,171.583,0.968542,0.866739,-1.08692,-0.481308,-0.102724,0.393702,9.4752,0.465089,92.6346,-3.22122,85.5211,19.1739,420,59.0542,399.669,-177.731,3.20272,170.634,0.146411,0.00917019,1.61327,-0.0490005,1.50005,0.296762
8.76948,0.509749,92.5055,-2.95271,85.8011,17.7646,419.983,55.1713,400.74,-177.858,2.99364,171.22,1.06945,0.708059,-0.942504,-0.491037,-0.0841953,0.391047,9.90406,0.435258,92.7053,-3.38802,85.3584,20.0334,420,61.7342,398.973,-177.643,3.35108,170.227,0.153056,0.0088968,1.61452,-0.0515345,1.49751,0.310052
9.17405,0.488783,92.5801,-3.10687,85.6346,18.5751,420.002,57.703,400.076,-177.777,3.13905,170.835,1.15171,0.542431,-0.887651,-0.464221,-0.128562,0.407858,10.3329,0.401044,92.7719,-3.55635,85.1991,20.8928,420,64.4158,398.277,-177.557,3.49976,169.82,0.160117,0.00853087,1.61583,-0.0542252,1.49461,0.324196
9.62628,0.460719,92.6602,-3.28143,85.4696,19.4808,419.964,60.5225,399.324,-177.681,3.28466,170.405,1.15107,0.38059,-0.986619,-0.413955,-0.107908,0.428642,10.7617,0.362439,92.8344,-3.72615,85.0432,21.7523,420,67.0993,397.58,-177.472,3.64878,169.414,0.16801,0.00804106,1.61722,-0.0572718,1.49173,0.340005
10.1468,0.421179,92.7406,-3.48435,85.266,20.5229,420.002,63.7848,398.497,-177.579,3.4744,169.912,1.13085,0.24066,-1.10389,-0.432568,-0.115898,0.442419,11.2762,0.3103,92.904,-3.93179,84.8605,22.7836,420,70.3223,396.743,-177.372,3.82804,168.928,0.177096,0.00735096,1.61863,-0.0608134,1.48817,0.358192
10.5914,0.379926,92.8057,-3.65899,85.1112,21.412,419.99,66.5666,397.761,-177.488,3.61911,169.492,1.06807,0.251399,-1.04323,-0.461523,-0.0876569,0.429476,11.7048,0.261995,92.9575,-4.10465,84.7121,23.643,420,73.0108,396.045,-177.29,3.97777,168.524,0.184855,0.00663095,1.61977,-0.0638614,1.48547,0.373709
10.9529,0.343051,92.8566,-3.80347,84.9738,22.1347,420.022,68.8342,397.158,-177.419,3.74989,169.153,0.986696,0.359222,-0.975346,-0.473973,-0.084005,0.414782,11.9619,0.230889,92.9876,-4.209,84.6247,24.1587,420,74.6252,395.626,-177.241,4.06778,168.282,0.191164,0.00598737,1.62065,-0.0663831,1.48307,0.386323
11.3599,0.299758,92.9114,-3.96454,84.8351,22.9478,420.004,71.3884,396.481,-177.339,3.88497,168.771,0.868512,0.650036,-0.917588,-0.489526,-0.0885479,0.393736,12.3903,0.175495,93.0344,-4.38391,84.4817,25.0181,420,77.3182,394.927,-177.161,4.21804,167.879,0.198267,0.00523177,1.62161,-0.0691943,1.48065,0.400515
11.7431,0.257526,92.9618,-4.12189,84.7032,23.7265,419.989,73.7811,395.846,-177.264,4.01865,168.4,0.868735,0.781602,-0.930155,-0.487368,-0.0950593,0.396073,12.7329,0.127974,93.0689,-4.52472,84.3698,25.7057,420,79.4751,394.367,-177.097,4.33849,167.557,0.204955,0.00449468,1.62249,-0.0719405,1.47835,0.414105
12.1779,0.205722,93.0113,-4.29704,84.551,24.589,419.999,76.5211,395.154,-177.186,4.17688,168.001,0.877295,0.759317,-1.04313,-0.483703,-0.106535,0.389514,13.1611,0.0645576,93.1083,-4.70178,84.2331,26.5651,420,82.1743,393.666,-177.019,4.48935,167.156,0.212545,0.00359052,1.62335,-0.0749975,1.47569,0.42916
12.5628,0.153129,93.0506,-4.4577,84.4293,25.375,419.991,78.9313,394.526,-177.11,4.3093,167.626,0.895161,0.631438,-1.08863,-0.482687,-0.0643737,0.360002,13.589,-0.00333945,93.1435,-4.87996,84.0998,27.4245,420,84.8775,392.964,-176.942,4.64053,166.755,0.219263,0.0026726,1.62404,-0.0778016,1.47357,0.442877
12.9206,0.103065,93.0832,-4.60376,84.3097,26.0903,420.006,81.1936,393.963,-177.049,4.4408,167.293,1.04501,0.490922,-1.04347,-0.495894,-0.137166,0.381235,14.0168,-0.0757319,93.1744,-5.05918,83.97,28.284,420,87.5849,392.262,-176.866,4.79205,166.355,0.225507,0.00179882,1.62461,-0.0803508,1.47148,0.455362
13.3861,0.0320616,93.1228,-4.79904,84.1628,27.0227,420.011,84.126,393.212,-176.963,4.60725,166.859,1.0819,0.325682,-0.944894,-0.491476,-0.113998,0.441661,14.5299,-0.168566,93.206,-5.27557,83.8188,29.3153,420,90.84,391.416,-176.776,4.9743,165.876,0.233632,0.00055958,1.6253,-0.0837591,1.46892,0.471635
